# Mapping reference: upstream R package -> conda package + feedstock repository URL
package               	upstream_url                                              	conda_package          	feedstock_url
calibratoR            	https://github.com/SantanderMetGroup/calibratoR          	r-c4r-calibrator       	https://github.com/conda-forge/r-c4r-calibrator-feedstock
climate4R.climdex     	https://github.com/SantanderMetGroup/climate4R.climdex   	r-climate4r.climdex    	https://github.com/conda-forge/r-climate4r.climdex-feedstock
climate4R.datasets    	https://github.com/SantanderMetGroup/climate4R.datasets  	r-climate4r.datasets   	https://github.com/conda-forge/r-climate4r.datasets-feedstock
climate4R.hub         	https://github.com/SantanderMetGroup/climate4R.hub       	r-climate4r.hub        	https://github.com/conda-forge/r-climate4r.hub-feedstock
climate4R.indices     	https://github.com/SantanderMetGroup/climate4R.indices   	r-climate4r.indices    	https://github.com/conda-forge/r-climate4r.indices-feedstock
climate4R             	https://github.com/SantanderMetGroup/climate4R           	r-climate4r            	https://github.com/conda-forge/r-climate4r-feedstock
climate4R.UDG         	https://github.com/SantanderMetGroup/climate4R.UDG       	r-climate4r.udg        	https://github.com/conda-forge/r-climate4r.udg-feedstock
climate4R.value       	https://github.com/SantanderMetGroup/climate4R.value     	r-climate4r.value      	https://github.com/conda-forge/r-climate4r.value-feedstock
convertR              	https://github.com/SantanderMetGroup/convertR            	r-convertr             	https://github.com/conda-forge/r-convertr-feedstock
downscaleR            	https://github.com/SantanderMetGroup/downscaleR          	r-downscaler           	https://github.com/conda-forge/r-downscaler-feedstock
downscaleR.keras      	https://github.com/SantanderMetGroup/downscaleR.keras    	r-downscaler.keras     	https://github.com/conda-forge/r-downscaler.keras-feedstock
drought4R             	https://github.com/SantanderMetGroup/drought4R           	r-drought4r            	https://github.com/conda-forge/r-drought4r-feedstock
fireDanger            	https://github.com/SantanderMetGroup/fireDanger          	r-firedanger           	https://github.com/conda-forge/r-firedanger-feedstock
geoprocessoR          	https://github.com/SantanderMetGroup/geoprocessoR        	r-geoprocessor         	https://github.com/conda-forge/r-geoprocessor-feedstock
loadeR.2nc            	https://github.com/SantanderMetGroup/loadeR.2nc          	r-loader.2nc           	https://github.com/conda-forge/r-loader.2nc-feedstock
loadeR                	https://github.com/SantanderMetGroup/loadeR              	r-loader               	https://github.com/conda-forge/r-loader-feedstock
loadeR.ECOMS          	https://github.com/SantanderMetGroup/loadeR.ECOMS        	r-loader.ecoms         	https://github.com/conda-forge/r-loader.ecoms-feedstock
loadeR.java           	https://github.com/SantanderMetGroup/loadeR.java         	r-loader.java          	https://github.com/conda-forge/r-loader.java-feedstock
mopa                  	https://github.com/SantanderMetGroup/mopa                	r-mopa                 	https://github.com/conda-forge/r-mopa-feedstock
transformeR           	https://github.com/SantanderMetGroup/transformeR         	r-transformer          	https://github.com/conda-forge/r-transformer-feedstock
VALUE                 	https://github.com/SantanderMetGroup/VALUE               	r-value                	https://github.com/conda-forge/r-value-feedstock
visualizeR            	https://github.com/SantanderMetGroup/visualizeR          	r-visualizer           	https://github.com/conda-forge/r-visualizer-feedstock
